City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Reyes,BO,2022-04-01 13:35:16,-14.3167,-67.3833,64.36,72,100,0.0
276,Kruisfontein,ZA,2022-04-01 13:35:16,-34.0033,24.7314,67.89,65,85,8.5
277,Cocorit,MX,2022-04-01 13:35:17,27.5833,-109.9667,55.74,38,29,4.68
278,Lagoa,PT,2022-04-01 13:35:17,39.05,-27.9833,60.73,87,100,30.65
279,Shingu,JP,2022-04-01 13:35:17,33.7333,135.9833,40.28,68,91,7.38
280,Sitka,US,2022-04-01 13:33:10,57.0531,-135.33,42.69,65,100,8.05
281,Provideniya,RU,2022-04-01 13:35:18,64.3833,-173.3,21.0,92,100,10.74
282,Dolzhanskaya,RU,2022-04-01 13:35:18,46.6311,37.8039,50.97,72,100,16.82
283,Prince Rupert,CA,2022-04-01 13:35:19,54.3161,-130.3201,40.69,93,100,36.82
284,Mahajanga,MG,2022-04-01 13:35:19,-15.7167,46.3167,83.28,64,89,7.31
285,Puerto Escondido,MX,2022-04-01 13:35:19,15.85,-97.0667,70.63,88,0,8.05
286,Mandali,IQ,2022-04-01 13:35:20,33.7499,45.5541,89.31,9,0,12.19
287,Dwarka,IN,2022-04-01 13:35:20,22.2394,68.9678,80.51,67,0,13.69
288,Itarema,BR,2022-04-01 13:35:20,-2.9248,-39.9167,76.59,90,100,4.94
289,Juegang,CN,2022-04-01 13:35:21,32.3174,121.1855,49.91,65,100,6.35
290,Kholodnyy,RU,2022-04-01 13:35:21,62.7167,147.95,-14.58,97,88,4.94
291,Aswan,EG,2022-04-01 13:35:21,24.0934,32.907,103.3,11,0,8.05
292,Fatehabad,IN,2022-04-01 13:35:22,29.5167,75.45,86.45,5,0,6.6
293,Asilah,MA,2022-04-01 13:35:22,35.465,-6.0348,62.56,67,58,9.4
